epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,134.995,1.04914,0.8272,1.03819,0.25944,0.31459,0.28039,0.16518,1.62749,2.32507,1.6462,0.00159604,0.00159604,0.00159604
88,136.453,0.95016,0.77604,1.00501,0.43301,0.3859,0.31076,0.16812,1.78652,2.45043,1.69696,0.00159521,0.00159521,0.00159521
89,137.903,1.01164,0.79791,1.02247,0.39281,0.44806,0.36127,0.18258,1.70722,1.96236,1.59154,0.00159439,0.00159439,0.00159439
90,139.359,1.02934,0.84519,1.05202,0.58351,0.4141,0.38127,0.18447,1.73477,1.89136,1.61226,0.00159356,0.00159356,0.00159356
91,140.834,0.94802,0.77935,1.02468,0.44019,0.47918,0.39538,0.22676,1.53678,1.85446,1.47578,0.00159274,0.00159274,0.00159274
92,142.315,1.00894,0.79461,1.03912,0.46064,0.39859,0.36909,0.21511,1.60287,2.0844,1.56771,0.00159191,0.00159191,0.00159191
93,143.79,1.01373,0.83824,1.04834,0.37801,0.46639,0.3837,0.21469,1.74994,2.27072,1.64756,0.00159108,0.00159108,0.00159108
94,145.287,1.01499,0.81731,1.03121,0.34986,0.43918,0.32304,0.1702,1.6837,3.02102,1.61924,0.00159026,0.00159026,0.00159026
95,146.756,0.96943,0.79475,1.02548,0.43019,0.39884,0.37066,0.19164,1.73337,2.57337,1.65102,0.00158943,0.00158943,0.00158943
96,148.235,0.93119,0.794,1.02149,0.59914,0.32118,0.36677,0.2029,1.63067,2.06869,1.60497,0.00158861,0.00158861,0.00158861
97,149.73,0.99198,0.78152,1.01057,0.34952,0.46787,0.31424,0.16345,1.70391,2.15689,1.68902,0.00158778,0.00158778,0.00158778
98,151.196,0.96248,0.81843,1.00988,0.40068,0.3341,0.30338,0.16407,1.70735,2.37107,1.73757,0.00158696,0.00158696,0.00158696
99,152.676,0.98235,0.76081,1.02337,0.31194,0.37028,0.27008,0.13876,1.7117,3.20631,1.71292,0.00158613,0.00158613,0.00158613
100,154.156,0.998,0.77176,1.01126,0.30075,0.42356,0.22456,0.10231,1.76516,2.75787,1.71133,0.00158531,0.00158531,0.00158531
101,155.589,0.99213,0.8343,1.03004,0.51618,0.41361,0.39187,0.20116,1.65563,1.98179,1.59583,0.00158448,0.00158448,0.00158448
