epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,3429.16,0.99139,0.4491,1.01752,0.98111,0.94633,0.97451,0.71488,1.04399,0.37328,1.03497,0.0094258,0.0094258,0.0094258
118,3458.64,0.99422,0.4467,1.01872,0.98064,0.94579,0.97537,0.71507,1.04084,0.37099,1.03314,0.00942085,0.00942085,0.00942085
119,3487.88,0.98744,0.44625,1.01662,0.98758,0.94149,0.97528,0.71495,1.04107,0.37092,1.03397,0.0094159,0.0094159,0.0094159
120,3517.04,0.99116,0.4492,1.01415,0.98486,0.94351,0.97573,0.71439,1.0434,0.37198,1.03522,0.00941095,0.00941095,0.00941095
121,3546.21,0.99476,0.44833,1.01457,0.98266,0.94624,0.97599,0.71488,1.04339,0.36999,1.03508,0.009406,0.009406,0.009406
122,3575.6,0.99298,0.44751,1.01864,0.98326,0.94533,0.97536,0.71524,1.04285,0.36928,1.03588,0.00940105,0.00940105,0.00940105
123,3604.69,0.99542,0.44951,1.01955,0.98338,0.94324,0.97556,0.71512,1.04326,0.36993,1.03578,0.0093961,0.0093961,0.0093961
124,3633.75,0.9873,0.44603,1.01372,0.98198,0.9433,0.97462,0.71532,1.04218,0.36908,1.03517,0.00939115,0.00939115,0.00939115
125,3662.75,0.98311,0.44287,1.01805,0.98343,0.94646,0.97549,0.7163,1.04345,0.36794,1.03639,0.0093862,0.0093862,0.0093862
126,3691.93,0.9864,0.44701,1.02203,0.98023,0.94855,0.97595,0.71635,1.04264,0.3686,1.03636,0.00938125,0.00938125,0.00938125
127,3721.11,0.98423,0.44527,1.0193,0.98246,0.94396,0.976,0.71514,1.04257,0.36857,1.03664,0.0093763,0.0093763,0.0093763
128,3750.23,0.98882,0.44414,1.01984,0.98272,0.94624,0.97514,0.7155,1.04286,0.36971,1.03701,0.00937135,0.00937135,0.00937135
129,3779.33,0.98288,0.44425,1.01726,0.98433,0.94436,0.97406,0.71544,1.04296,0.37057,1.03719,0.0093664,0.0093664,0.0093664
130,3808.46,0.98859,0.44254,1.0184,0.98204,0.9465,0.97459,0.71641,1.04242,0.37028,1.037,0.00936145,0.00936145,0.00936145
131,3837.72,0.97684,0.44006,1.01479,0.98245,0.94852,0.97631,0.71592,1.04279,0.37047,1.03742,0.0093565,0.0093565,0.0093565
132,3866.98,0.99216,0.44748,1.01966,0.98576,0.94597,0.97605,0.71546,1.04235,0.37011,1.03745,0.00935155,0.00935155,0.00935155
133,3898.24,0.97539,0.43868,1.0079,0.98484,0.94735,0.97656,0.71617,1.04226,0.37046,1.03699,0.0093466,0.0093466,0.0093466
134,3930.54,0.98825,0.44342,1.01853,0.98434,0.94485,0.9759,0.71532,1.04096,0.3701,1.03584,0.00934165,0.00934165,0.00934165
135,3966.89,0.98401,0.44137,1.01197,0.98341,0.94522,0.97485,0.71557,1.04107,0.36902,1.03511,0.0093367,0.0093367,0.0093367
136,4002.82,0.9815,0.44353,1.01316,0.98442,0.94442,0.9752,0.71608,1.04107,0.36826,1.03484,0.00933175,0.00933175,0.00933175
137,4035.62,0.98971,0.44441,1.01449,0.98462,0.94442,0.97537,0.71434,1.0411,0.36775,1.03505,0.0093268,0.0093268,0.0093268
138,4068.37,0.97607,0.43887,0.99932,0.98416,0.94487,0.97626,0.71501,1.04172,0.36751,1.03456,0.00932185,0.00932185,0.00932185
139,4101.16,0.97569,0.44127,1.00742,0.9848,0.94456,0.97574,0.71579,1.04091,0.36659,1.03343,0.0093169,0.0093169,0.0093169
140,4133.82,0.97809,0.43527,1.0069,0.98478,0.94352,0.9754,0.71471,1.04171,0.36558,1.03339,0.00931195,0.00931195,0.00931195
141,4166.54,0.97833,0.43851,1.01063,0.98463,0.94351,0.97589,0.71578,1.0412,0.36589,1.03287,0.009307,0.009307,0.009307
142,4199.29,0.9818,0.44175,1.01206,0.98575,0.94305,0.97636,0.71559,1.04135,0.36441,1.03276,0.00930205,0.00930205,0.00930205
143,4232.69,0.9719,0.43616,1.01039,0.98514,0.94305,0.97614,0.71509,1.04176,0.36516,1.03288,0.0092971,0.0092971,0.0092971
144,4265.81,0.97767,0.43753,1.01389,0.98515,0.94351,0.97634,0.71578,1.0421,0.36466,1.03317,0.00929215,0.00929215,0.00929215
145,4298.64,0.97028,0.4365,1.00923,0.98619,0.94342,0.97619,0.71626,1.04197,0.36507,1.03283,0.0092872,0.0092872,0.0092872
146,4331.46,0.97408,0.43861,1.0124,0.98555,0.94351,0.9761,0.71597,1.04214,0.36513,1.033,0.00928225,0.00928225,0.00928225
147,4364.31,0.9717,0.43861,1.00738,0.98669,0.94351,0.97597,0.71559,1.04182,0.36558,1.03269,0.0092773,0.0092773,0.0092773
148,4397.09,0.97667,0.43784,1.01493,0.98627,0.94305,0.97568,0.71643,1.04242,0.366,1.03297,0.00927235,0.00927235,0.00927235
149,4430.11,0.97286,0.43671,1.01496,0.98616,0.94305,0.97563,0.71656,1.04177,0.36581,1.03272,0.0092674,0.0092674,0.0092674
150,4462.84,0.97382,0.44102,1.00789,0.98677,0.94305,0.97575,0.71597,1.04227,0.36428,1.03292,0.00926245,0.00926245,0.00926245
151,4495.43,0.96768,0.43397,1.00623,0.98713,0.94347,0.97599,0.71616,1.04202,0.36393,1.03263,0.0092575,0.0092575,0.0092575
152,4529.42,0.97333,0.4346,1.01057,0.98683,0.94351,0.97629,0.7166,1.04172,0.36393,1.03259,0.00925255,0.00925255,0.00925255
153,4562.18,0.97423,0.43377,1.00914,0.98713,0.94358,0.97599,0.71715,1.04181,0.36352,1.03229,0.0092476,0.0092476,0.0092476
154,4594.97,0.97078,0.43229,1.00881,0.98713,0.94332,0.97593,0.71694,1.04216,0.3637,1.0325,0.00924265,0.00924265,0.00924265
155,4627.77,0.96804,0.43492,1.00466,0.98712,0.94297,0.97561,0.71699,1.042,0.36333,1.03244,0.0092377,0.0092377,0.0092377
156,4660.59,0.97078,0.4337,1.00707,0.9876,0.94303,0.97547,0.71707,1.04218,0.36412,1.03262,0.00923275,0.00923275,0.00923275
157,4693.42,0.96994,0.43358,1.01091,0.98759,0.9429,0.97539,0.7162,1.04273,0.3641,1.03299,0.0092278,0.0092278,0.0092278
158,4726.15,0.97296,0.43458,1.00979,0.98807,0.9435,0.97609,0.71608,1.04286,0.36409,1.03288,0.00922285,0.00922285,0.00922285
159,4758.94,0.97553,0.43674,1.00921,0.9876,0.94304,0.9752,0.71604,1.04276,0.36419,1.03291,0.0092179,0.0092179,0.0092179
160,4791.67,0.95837,0.43306,1.00571,0.98759,0.94287,0.9751,0.71656,1.04268,0.36473,1.03298,0.00921295,0.00921295,0.00921295
